Year,Cook Inlet to Soldotna Bridge,Soldotna Bridge to Moose River,Moose River to Skilak Lake Outlet,Skilak Inlet to Kenai Lake,Kenai River Reach Not Specified,Kenai River Total,Source,Page,Link
2008,"161,607","90,811","47,204","50,655","10,067","360,344",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
2009,"132,059","87,360","48,661","60,319","8,818","337,217",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
2010,"133,856","105,095","53,375","43,344","12,268","347,938",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
2011,"159,254","107,121","53,315","43,750","2,423","365,863",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
2012,"147,721","127,598","54,024","43,222","2,167","374,732",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
2013,"137,963","144,901","63,948","62,213","2,567","411,592",Gates et al 2024,55,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2023-2024/uci/fmr_24-03.pdf
2014,"175,187","157,066","70,741","49,038","3,546","455,578",Gates et al 2024,55,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2023-2024/uci/fmr_24-03.pdf
2015,"168,628","135,996","65,826","50,607","1,735","422,792",Gates et al 2024,55,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2023-2024/uci/fmr_24-03.pdf
2016,"163,873","124,314","49,368","41,627","1,456","380,638",Gates et al 2024,55,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2023-2024/uci/fmr_24-03.pdf
2017,"157,514","125,162","45,653","47,182","1,101","376,612",Gates et al 2024,55,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2023-2024/uci/fmr_24-03.pdf
2018,"137,332","100,513","46,920","38,840",927,"324,532",Gates et al 2024,55,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2023-2024/uci/fmr_24-03.pdf
2019,"157,092","143,673","52,899","42,426","1,324","397,414",Gates et al 2024,55,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2023-2024/uci/fmr_24-03.pdf
2020,"122,692","93,295","49,269","38,394","1,726","305,376",Gates et al 2024,55,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2023-2024/uci/fmr_24-03.pdf
2021,"173,562","144,473","54,387","43,957","1,763","418,142",Gates et al 2024,55,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2023-2024/uci/fmr_24-03.pdf
2022,"152,476","142,280","53,855","44,396",866,"393,873",Gates et al 2024,55,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2023-2024/uci/fmr_24-03.pdf
,,,,,,,,,
,,,,,,,, ,
